id,voted16,trump16,clinton16,voted12,obama12,romney12,democrat,republican,liberal,conservative,age,female,white,black,hispanic,asian,income100,church,south,apprentice,homealone2
141,1,1,0,1,0,1,0,1,0,1,58,0,1,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,1,0,28,1,0,0,0,0,0,0,0,0,1
143,1,0,1,1,1,0,1,0,1,0,71,1,1,0,0,0,0,0,0,0,1
144,0,0,0,0,0,0,0,0,1,0,76,0,1,0,0,0,0,0,1,0,0
145,0,0,0,0,0,0,0,0,1,0,27,1,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,1,0,1,0,24,1,1,0,0,0,0,0,0,1,1
147,1,0,1,1,1,0,1,0,1,0,54,1,1,0,0,0,0,0,0,0,0
148,1,0,0,1,1,0,1,0,1,0,27,1,1,0,0,0,0,1,1,0,1
149,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,0,1
150,1,1,0,0,0,0,0,1,0,1,50,0,1,0,0,0,1,1,1,0,1
151,0,0,0,0,0,0,0,0,1,0,45,1,1,0,0,0,0,0,1,0,0
152,1,1,0,1,0,1,0,1,0,1,73,1,1,0,0,0,0,0,0,1,1
153,0,0,0,0,0,0,1,0,1,0,21,1,1,0,0,0,0,1,0,1,1
154,0,0,0,1,0,1,0,1,0,1,43,0,1,0,0,0,1,1,1,0,0
155,0,0,0,0,0,0,0,0,0,0,46,1,1,0,0,0,0,0,0,1,1
156,1,0,1,1,1,0,1,0,1,0,65,0,1,0,0,0,0,0,0,1,1
157,1,1,0,1,1,0,1,0,0,1,78,0,1,0,0,0,1,0,0,0,0
158,1,0,1,1,1,0,1,0,0,0,36,1,0,1,0,0,0,0,1,0,1
159,1,0,0,1,0,1,0,1,0,1,30,1,1,0,0,0,1,0,0,0,0
160,0,0,0,0,0,0,0,0,1,0,21,0,1,0,0,0,0,0,1,0,0
161,1,0,1,1,1,0,0,0,1,0,47,0,0,0,1,0,0,0,0,0,0
162,0,0,0,1,0,1,0,0,0,0,52,1,1,0,0,0,0,0,0,0,0
163,1,0,1,1,1,0,1,0,0,0,41,1,0,0,1,0,1,0,1,0,0
164,1,0,1,1,1,0,1,0,0,0,74,1,0,0,0,1,0,1,0,0,0
165,0,0,0,0,0,0,0,0,1,0,19,1,1,0,0,0,0,0,0,1,0
166,0,0,0,1,1,0,1,0,1,0,70,1,1,0,0,0,0,0,0,0,0
167,0,0,0,1,1,0,1,0,0,0,60,1,1,0,0,0,0,0,0,0,1
168,1,1,0,1,0,1,0,0,0,1,58,1,1,0,0,0,0,0,0,0,1
169,0,0,0,0,0,0,0,0,0,0,26,1,1,0,0,0,0,0,0,0,1
170,0,0,0,1,0,1,0,1,0,0,26,0,1,0,0,0,0,1,1,0,0
171,1,0,0,0,0,0,1,0,0,0,44,0,0,1,0,0,1,0,0,0,1
172,0,0,0,0,0,0,0,0,0,1,59,0,1,0,0,0,0,1,0,0,1
173,1,0,1,1,1,0,1,0,0,1,71,1,0,1,0,0,0,1,1,0,1
174,1,0,0,1,0,1,0,0,0,1,30,0,1,0,0,0,0,1,0,0,0
175,1,0,0,1,1,0,0,0,0,1,50,0,0,1,0,0,0,0,0,0,0
176,1,1,0,1,0,1,0,0,0,1,74,1,1,0,0,0,0,0,0,0,0
177,1,0,1,1,1,0,1,0,0,0,57,0,0,1,0,0,0,0,1,0,1
178,1,0,1,0,0,0,1,0,1,0,24,1,0,1,0,0,0,0,0,1,0
179,0,0,0,0,0,0,1,0,0,0,27,0,0,1,0,0,0,1,1,0,1
180,0,0,0,0,0,0,0,1,0,1,62,1,1,0,0,0,0,0,0,0,0
181,0,0,0,1,1,0,0,0,1,0,44,1,1,0,0,0,0,0,0,0,0
182,1,0,0,0,0,0,0,0,0,1,20,1,0,0,0,0,0,1,0,0,0
183,0,0,0,0,0,0,0,1,1,0,23,1,1,0,0,0,0,0,0,0,0
184,1,0,1,1,1,0,1,0,0,0,71,0,1,0,0,0,0,1,1,0,0
185,0,0,0,1,0,1,0,0,0,1,55,0,1,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,1,0,1,32,1,1,0,0,0,1,0,0,1,0
187,0,0,0,1,1,0,0,0,0,0,74,1,1,0,0,0,1,0,1,1,1
188,0,0,0,1,1,0,1,0,0,0,35,0,1,0,0,0,0,0,0,0,1
189,0,0,0,0,0,0,0,1,0,1,29,1,1,0,0,0,0,0,1,0,1
190,1,0,1,1,1,0,0,0,1,0,69,0,1,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,1,0,45,1,0,0,0,1,0,0,0,0,1
192,0,0,0,1,0,0,0,0,1,0,48,0,1,0,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0,1,0,1,35,1,1,0,0,0,1,1,0,0,0
194,1,1,0,1,0,1,0,1,0,1,44,0,0,0,1,0,1,0,0,1,0
195,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,1,0,0,0,0,1
196,0,0,0,0,0,0,0,1,0,1,39,0,1,0,0,0,0,1,1,0,1
197,0,0,0,0,0,0,0,0,0,0,29,1,1,0,0,0,0,0,0,0,1
198,0,0,0,1,0,1,0,1,0,1,41,1,0,0,1,0,0,1,1,0,1
199,0,0,0,1,1,0,1,0,0,0,33,0,0,1,0,0,0,0,0,1,0
200,0,0,0,0,0,0,0,0,0,0,34,1,1,0,0,0,1,0,0,0,1
201,1,1,0,1,1,0,1,0,0,0,61,1,1,0,0,0,0,0,0,0,0
202,0,0,0,1,1,0,1,0,1,0,65,1,0,1,0,0,0,1,0,0,1
203,0,0,0,1,1,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,1
204,1,0,1,1,1,0,0,0,1,0,63,1,1,0,0,0,0,1,0,0,1
205,0,0,0,0,0,0,0,0,0,1,37,1,0,0,1,0,0,1,0,0,1
206,1,0,1,1,1,0,1,0,1,0,65,1,1,0,0,0,0,0,0,0,1
207,1,0,1,1,1,0,1,0,1,0,39,1,1,0,0,0,0,0,0,1,1
